,url,title
0,https://podcasters.spotify.com/pod/show/danny-evans/episodes/Obstacles-and-Priorities-to-Learning-Spanish-e1kqd07,Obstacles and Priorities to Learning Spanish
1,https://podcasters.spotify.com/pod/show/danny-evans/episodes/From-Spanglish-to-Spanish---Tips-for-Learning-e1k8dkp,From Spanglish to Spanish - Tips for Learning
2,https://podcasters.spotify.com/pod/show/danny-evans/episodes/The-Language-Tutor-Spanish---Reading-Jokes-to-Learn-Spanish-e19m7j5,The Language Tutor Spanish - Reading Jokes to Learn Spanish!
3,https://podcasters.spotify.com/pod/show/danny-evans/episodes/The-Language-Tutor-Spanish---Short-Story---La-Paella-Loca---Chapter-4---Part-2-e17vnor,The Language Tutor Spanish - Short Story - La Paella Loca - Chapter 4 - Part 2
4,https://podcasters.spotify.com/pod/show/danny-evans/episodes/The-Language-Tutor-Spanish-Short-Story---La-Paella-Loca---Chapter-4---Part-1-e16t6pe,The Language Tutor Spanish Short Story - La Paella Loca - Chapter 4 - Part 1
5,https://podcasters.spotify.com/pod/show/danny-evans/episodes/The-Language-Tutor-Spanish-Short-Story---La-Paella-Loca---Chapter-3---Part-2-e16o166,The Language Tutor Spanish Short Story - La Paella Loca - Chapter 3 - Part 2
6,https://podcasters.spotify.com/pod/show/danny-evans/episodes/The-Language-Tutor-Spanish---Short-Story---La-Paella-Loca---Chapter-3---Part-1-e16mgou,The Language Tutor Spanish - Short Story - La Paella Loca - Chapter 3 - Part 1
7,https://podcasters.spotify.com/pod/show/danny-evans/episodes/The-Language-Tutor-Spanish-Short-Story---La-Paella-Loca---Chapter-2---Part-2-e162q09,The Language Tutor Spanish Short Story - La Paella Loca - Chapter 2 - Part 2
8,https://podcasters.spotify.com/pod/show/danny-evans/episodes/The-Language-Tutor-Spanish-Short-Story---La-Paella-Loca---Chapter-2---Part-1-e15jso8,The Language Tutor Spanish Short Story - La Paella Loca - Chapter 2 - Part 1
9,https://podcasters.spotify.com/pod/show/danny-evans/episodes/The-Language-Tutor-Spanish---Short-Story---La-Paella-Loca---Chapter-1---Part-2-e15cit8,The Language Tutor Spanish - Short Story - La Paella Loca - Chapter 1 - Part 2
10,https://podcasters.spotify.com/pod/show/danny-evans/episodes/The-Language-Tutor-Spanish---Short-Story---La-Paella-Loca---Chapter-1---part-1-e14qrhr,The Language Tutor Spanish - Short Story - La Paella Loca - Chapter 1 - part 1
11,https://podcasters.spotify.com/pod/show/danny-evans/episodes/The-Language-Tutor-Spanish---Lesson-87---Final-Country-Names-and-Nationalities-ejgd7t,The Language Tutor Spanish - Lesson 87 - Final Country Names and Nationalities
12,https://podcasters.spotify.com/pod/show/danny-evans/episodes/The-Language-Tutor-Spanish---Lesson-86---Countries-of-Asia-ej6e9p,The Language Tutor Spanish - Lesson 86 - Countries of Asia
13,https://podcasters.spotify.com/pod/show/danny-evans/episodes/The-Language-Tutor-Spanish---Lesson-85---Countries-and-Nationalities---Part-3-eirfbm,The Language Tutor Spanish - Lesson 85 - Countries and Nationalities - Part 3
14,https://podcasters.spotify.com/pod/show/danny-evans/episodes/The-Language-Tutor-Spanish---Lesson-84---Country-Names-and-Nationalities-Part-2-eih77m,The Language Tutor Spanish - Lesson 84 - Country Names and Nationalities Part 2
15,https://podcasters.spotify.com/pod/show/danny-evans/episodes/The-Language-Tutor-Spanish---Lesson-83---Country-Names-and-Nationalities-Part-1-ei6oo8,The Language Tutor Spanish - Lesson 83 - Country Names and Nationalities Part 1
16,https://podcasters.spotify.com/pod/show/danny-evans/episodes/The-Language-Tutor-Spanish---Lesson-77---Review-of-All-Tenses-in-Spanish-egagoi,The Language Tutor Spanish - Lesson 77 - Review of All Tenses in Spanish
