name,name_school
Christopher Hunn,Christopher Hunn Berkeley
Nilah Ioannidis,Nilah Ioannidis Berkeley
Jiantao Jiao,Jiantao Jiao Berkeley
Michael Jordan,Michael Jordan Berkeley
Anthony D. Joseph,Anthony D. Joseph Berkeley
William M. Kahan,William M. Kahan Berkeley
Peyrin Kao,Peyrin Kao Berkeley
Richard M. Karp,Richard M. Karp Berkeley
Randy H. Katz,Randy H. Katz Berkeley
Daniel Klein,Daniel Klein Berkeley
John D. Kubiatowicz,John D. Kubiatowicz Berkeley
Edward A. Lee,Edward A. Lee Berkeley
Igor Mordatch,Igor Mordatch Berkeley
Jelani Nelson,Jelani Nelson Berkeley
Ren Ng,Ren Ng Berkeley
Narges Norouzi,Narges Norouzi Berkeley
James O'Brien,James O'Brien Berkeley
Christos Papadimitriou,Christos Papadimitriou Berkeley
Beresford N. Parlett,Beresford N. Parlett Berkeley
Vern Paxson,Vern Paxson Berkeley
Prasad Raghavendra,Prasad Raghavendra Berkeley
Satish Rao,Satish Rao Berkeley
Benjamin Recht,Benjamin Recht Berkeley
Lawrence A. Rowe,Lawrence A. Rowe Berkeley
Jaijeet Roychowdhury,Jaijeet Roychowdhury Berkeley
Stuart J. Russell,Stuart J. Russell Berkeley
Anant Sahai,Anant Sahai Berkeley
Koushik Sen,Koushik Sen Berkeley
Carlo H. Séquin,Carlo H. Séquin Berkeley
Jonathan Shewchuk,Jonathan Shewchuk Berkeley
Alistair Sinclair,Alistair Sinclair Berkeley
Yun S. Song,Yun S. Song Berkeley
Costas J. Spanos,Costas J. Spanos Berkeley
Jacob Steinhardt,Jacob Steinhardt Berkeley
Michael Stonebraker,Michael Stonebraker Berkeley
Bernd Sturmfels,Bernd Sturmfels Berkeley
Umesh Vazirani,Umesh Vazirani Berkeley
Martin Wainwright,Martin Wainwright Berkeley
Jean Walrand,Jean Walrand Berkeley
John Wawrzynek,John Wawrzynek Berkeley
Nicholas Weaver,Nicholas Weaver Berkeley
John Wright,John Wright Berkeley
