source_url	parsed_url
https://www.politico.com/tipsheets/morning-money	https://www.politico.com/newsletters/morning-money/2023/10/06/why-matt-gaetz-matters-in-morocco-00120301
https://www.politico.com/tipsheets/morning-money	https://www.trmlabs.com/post/in-wake-of-attack-on-israel-understanding-how-hamas-uses-crypto
https://www.politico.com/tipsheets/morning-money	https://www.politico.com/privacy-policy
https://www.politico.com/tipsheets/morning-money	https://www.politico.com/news/immigration
https://www.politico.com/tipsheets/morning-money	https://twitter.com/politico
https://www.politico.com/tipsheets/morning-money	https://www.politico.com/newsletters/morning-money/2023/10/10/what-the-war-in-israel-means-for-the-economy-00120649
https://www.politico.com/tipsheets/morning-money	https://www.politico.com/news/florida
https://www.politico.com/tipsheets/morning-money	http://edition.pagesuite-professional.co.uk/Launch.aspx?bypass=true&amp;PBID=74262970-aa07-44b3-80c8-21fa8a8ac376
https://www.politico.com/tipsheets/morning-money	https://www.politico.com/tag/column-on-politics
https://www.politico.com/tipsheets/morning-money	https://www.politico.com/tag/pro-canada
https://www.politico.com/tipsheets/morning-money	https://www.politico.com/news/2023/10/13/progressive-lawmakers-letter-biden-israel-00121463
https://www.politico.com/tipsheets/morning-money	https://www.politico.com/news/foreign-affairs
https://www.politico.com/tipsheets/morning-money	https://www.politico.com/apple-touch-icon-120x120.png
https://www.politico.com/tipsheets/morning-money	https://www.politico.com/_login?base=https%3A%2F%2Fwww.politico.com&amp;redirect=%2F_login&amp;logout=%2F_logout&amp;lRedirect=true&amp;sRedirect=%2Fsettings&amp;js=false
https://www.politico.com/tipsheets/morning-money	https://www.politico.com/education
https://www.politico.com/tipsheets/morning-money	https://www.politico.com/news/2023/10/14/jim-jordans-bully-pulpit-00121585
https://www.politico.com/tipsheets/morning-money	https://www.politico.com/dims4/default/c73c7f7/2147483647/legacy_thumbnail/57x57/quality/90/?url=https%3A%2F%2Fstatic.politico.com%2Fcf%2F05%2Fee684a274496b04fa20ba2978da1%2Fpolitico.png
https://www.politico.com/tipsheets/morning-money	https://www.politico.com/interactives/2023/republican-candidates-2024-gop-presidential-hopefuls-list/
https://www.politico.com/tipsheets/morning-money	https://www.politico.com/press/about
https://www.politico.com/tipsheets/morning-money	https://www.politico.com/magazine
https://www.politico.com/tipsheets/morning-money	https://www.politico.com/news/2024-elections
https://www.politico.com/tipsheets/morning-money	https://www.politicopro.com/
https://www.politico.com/tipsheets/morning-money	https://www.politico.com/news/sustainability
https://www.politico.com/tipsheets/morning-money	https://www.instagram.com/politico/
https://www.politico.com/tipsheets/morning-money	https://www.politico.com/apple-touch-icon-114x114.png
https://www.politico.com/tipsheets/morning-money	https://www.politico.com/dims4/default/59ee5a3/2147483647/legacy_thumbnail/114x114/quality/90/?url=https%3A%2F%2Fstatic.politico.com%2Fcf%2F05%2Fee684a274496b04fa20ba2978da1%2Fpolitico.png
https://www.politico.com/tipsheets/morning-money	https://www.politico.com/news/2023/10/12/war-inflation-federal-reserve-00121171
https://www.politico.com/tipsheets/morning-money	https://www.politico.com/news/new-york
https://www.politico.com/tipsheets/morning-money	https://www.politico.com/womenrule
https://www.politico.com/tipsheets/morning-money	https://www.politico.com/news/2023/10/03/sam-bankman-fried-trial-crypto-lobby-congress-00118858
https://www.politico.com/tipsheets/morning-money	https://www.politico.com/privacy
https://www.politico.com/tipsheets/morning-money	https://www.politico.com/tag/labor
https://www.politico.com/tipsheets/morning-money	https://www.politico.com/newsletters/politico-nightly
https://www.politico.com/tipsheets/morning-money	https://www.politico.com/newsletters/the-recast
https://www.politico.com/tipsheets/morning-money	https://www.facebook.com/politico/
https://www.politico.com/tipsheets/morning-money	https://www.politico.com/podcasts/tech?cid=mkt_NLs
https://www.politico.com/tipsheets/morning-money	https://www.politico.com/favicon-32x32.png
https://www.politico.com/tipsheets/morning-money	https://www.politico.com/manifest.json
https://www.politico.com/tipsheets/morning-money	https://www.politico.com/technology
https://www.politico.com/tipsheets/morning-money	https://www.politico.com/careers
https://www.politico.com/tipsheets/morning-money	https://www.politico.com/faq
https://www.politico.com/tipsheets/morning-money	https://www.politico.com/news/matt-wuerker
https://www.politico.com/tipsheets/morning-money	https://www.politico.com/payment
https://www.politico.com/tipsheets/morning-money	https://bettermarkets.org/wp-content/uploads/2023/10/BetterMarkets_RAP_Sheet_OnePager_10-2023.pdf
https://www.politico.com/tipsheets/morning-money	https://www.politicopro.com/pro-reporting/?cid=promkt_20q1_corenews_act_money
https://www.politico.com/tipsheets/morning-money	https://www.politico.com/newsletters/morning-money/2023/07/28/warren-crypto-plan-draws-manchin-big-banks-00108702
https://www.politico.com/tipsheets/morning-money	https://www.politico.com/news/new-jersey
https://www.politico.com/tipsheets/morning-money	https://www.wsj.com/world/middle-east/militants-behind-israel-attack-raised-millions-in-crypto-b9134b7a
https://www.politico.com/tipsheets/morning-money	https://twitter.com/sheila_warren/status/1712474778010010072
https://www.politico.com/tipsheets/morning-money	https://www.politico.com/newsletters/playbook-pm
https://www.politico.com/tipsheets/morning-money	https://www.politico.com/newsletters/morning-money/archive
https://www.politico.com/tipsheets/morning-money	https://www.politico.com/news/2023/10/13/stopgap-speaker-00121409
https://www.politico.com/tipsheets/morning-money	https://www.consumerfinance.gov/about-us/blog/protecting-immigrant-access-to-fair-credit-opportunities/
https://www.politico.com/tipsheets/morning-money	https://www.politico.com/cdn-cgi/l/email-protection#46353533323229280636292a2f322f25296825292b
https://www.politico.com/tipsheets/morning-money	https://www.politico.eu
https://www.politico.com/tipsheets/morning-money	https://www.nytimes.com/2023/10/12/world/middleeast/us-qatar-iran-prisoner-deal.html
https://www.politico.com/tipsheets/morning-money	https://www.politico.com/apple-touch-icon-144x144.png
https://www.politico.com/tipsheets/morning-money	https://www.politico.com/news/rich-lowry
https://www.politico.com/tipsheets/morning-money	https://static.politico.com/resource/0000017e-7fd1-d4e5-adfe-7ff9f1280001/styleguide/assets/css/style-core.js.b3d317efb1e60e48d6ec82b01927c270.gz.css
https://www.politico.com/tipsheets/morning-money	https://www.politico.com/news/2023/10/14/rfk-jr-s-independence-pivot-is-a-relief-for-the-kennedys-00121480
https://www.politico.com/tipsheets/morning-money	https://subscriber.politicopro.com/article/2023/10/treasury-imposes-first-sanctions-for-violation-of-russian-oil-price-cap-00121173
https://www.politico.com/tipsheets/morning-money	https://www.politico.com/apple-touch-icon-152x152.png
https://www.politico.com/tipsheets/morning-money	https://subscriber.politicopro.com/article/2023/10/cfpb-ftc-sue-transunion-over-rental-screening-practices-00121180
https://www.politico.com/tipsheets/morning-money	https://x.com/iampaulgrewal/status/1711901033319047440?s=20
https://www.politico.com/tipsheets/morning-money	https://www.politico.com/health-care
https://www.politico.com/tipsheets/morning-money	https://files.consumerfinance.gov/f/documents/cfpb-joint-statement-on-fair-lending-and-credit-opportunities-for-noncitizen-b_jA2oRDf.pdf
https://www.politico.com/tipsheets/morning-money	https://www.politico.com/rss/politicopicks.xml
https://www.politico.com/tipsheets/morning-money	https://www.politico.com/newsletters/politico-weekend
https://www.politico.com/tipsheets/morning-money	https://www.politico.com/white-house
https://www.politico.com/tipsheets/morning-money	https://www.politico.com/finance
https://www.politico.com/tipsheets/morning-money	https://www.politico.com/tipsheets/politico.com/newsletters/global-playbook?cid=globalplaybook_morningmoney
https://www.politico.com/tipsheets/morning-money	https://twitter.com/intent/tweet?url=https://politi.co/3PXP9Wa&amp;text=Crypto, Hamas and Elizabeth Warren&amp;via=politico
https://www.politico.com/tipsheets/morning-money	https://www.eenews.net/
https://www.politico.com/tipsheets/morning-money	https://www.politico.com/favicon-16x16.png
https://www.politico.com/tipsheets/morning-money	https://www.politico.com/staff/zachary-warmbrodt
https://www.politico.com/tipsheets/morning-money	https://www.politico.com/tipsheets/morning-money?tab=most-read
https://www.politico.com/tipsheets/morning-money	https://www.politico.com/transportation
https://www.politico.com/tipsheets/morning-money	https://www.politico.com/tag/column-tomorrow
https://www.politico.com/tipsheets/morning-money	https://www.politico.com/tag/altitude
https://www.politico.com/tipsheets/morning-money	https://www.politico.com/live-updates/congress
https://www.politico.com/tipsheets/morning-money	https://www.politico.com/podcasts
https://www.bloomberg.com/markets/economics	https://www.bloomberg.com/feedback
https://www.bloomberg.com/markets/economics	https://www.bloomberg.com/notices/tos
https://www.mediamatters.org/	https://www.mediamatters.org/climate-energy
https://www.mediamatters.org/	https://www.mediamatters.org/privacy
https://www.mediamatters.org/	https://www.mediamatters.org/?page=0
https://www.mediamatters.org/	https://www.mediamatters.org/fox-news/shareholders-just-sued-fox-over-dominion-election-lies-heres-how-fox-board-members-and
https://www.mediamatters.org/	https://www.mediamatters.org/donald-trump/conservative-media-are-adamant-criminal-investigation-disqualifying-presidential
https://www.mediamatters.org/	https://www.mediamatters.org/#instagram
https://www.mediamatters.org/	https://www.mediamatters.org/fox-news/media-matters-weekly-newsletter-october-13
https://www.mediamatters.org/	https://www.mediamatters.org/#article
https://www.mediamatters.org/	https://www.mediamatters.org/job-openings
https://www.mediamatters.org/	https://www.mediamatters.org/fox-news/right-wing-media-are-bickering-over-potential-national-abortion-ban
