date_,wp,rsi_old,rsi
20150106,174.5395,3.4063,4.372577352975448
20150107,176.0505,4.2626,4.669618516720547
20150108,179.0475,5.8868,5.794459384042973
20150109,178.2738,5.374,5.28592074208084
20150112,176.825,4.4294,3.716170395304914
20150113,176.4788,4.2062,3.0762975704636517
20150114,174.5748,2.9989,1.7121120804826546
20150115,174.0315,2.6609,1.1095111084417937
20150116,175.055,3.2286,1.767514012751505
20150120,175.7842,3.6288,1.768418402753774
20150121,176.633,4.0906,2.0272476066313843
20150122,178.7762,5.228,3.201094310879327
20150123,178.8088,5.245,3.3412717811888157
20150126,178.704,5.1768,3.0687082842554787
20150127,176.7398,3.9172,1.9570185340121498
20150128,175.2315,2.9791,1.0986371966839954
20150129,175.3335,3.035,1.2666101021017155
20150130,174.3008,2.3988,0.6037407357520621
20150202,175.0725,2.8259,1.0410019763430398
20150203,177.9872,4.3873,2.9438164136290013
20150204,177.972,4.3778,2.813647720858029
20150205,179.329,5.0838,3.3550200087587143
20150206,179.3465,5.0929,3.7168723626057556
20150209,178.4125,4.5007,3.371224303385837
20150210,179.7942,5.22,3.5450752035450606
20150211,180.193,5.4254,3.4681341951457796
20150212,181.6137,6.1493,3.751698424567408
20150213,182.5775,6.632,4.114262307690609
20150217,182.9185,6.8019,4.969973267305889
20150218,182.958,6.8217,5.486799209479983
20150219,182.9008,6.7836,5.149099140067541
20150220,183.5105,7.093,6.426109895410235
20150223,183.872,7.2762,6.34348149240509
20150224,184.3718,7.5295,6.754771916354223
20150225,184.437,7.5626,6.781166446852033
20150226,184.091,7.3228,7.786549546095195
20150227,183.7425,7.0809,7.990007894390516
20150302,184.4468,7.4475,7.461148880384215
20150303,183.929,7.0854,7.081367392722662
20150304,182.998,6.4392,7.87020676856406
20150305,183.334,6.6182,7.326947514219256
20150306,181.2577,5.2023,7.0952047405222345
20150309,181.457,5.3106,8.47019130490937
20150310,179.0002,3.6934,8.538533611066619
20150311,178.3655,3.2867,8.28362353808766
20150312,179.1595,3.7295,9.995577498926224
20150313,180.541,4.4876,10.54070570094548
20150316,181.1588,4.822,9.74802213086123
20150317,181.1038,4.7858,9.23643716672052
20150318,182.7215,5.6556,8.532402419119009
20150319,182.662,5.6159,8.610239778672891
20150320,184.0858,6.369,8.528601553946856
20150323,184.0438,6.3406,8.139417749597158
20150324,183.1025,5.7033,7.518032421038065
20150325,180.8625,4.2287,5.217059101390731
20150326,179.6377,3.4474,4.452906299750936
20150327,179.9315,3.6093,4.165495505609698
20150330,182.0695,4.7661,4.1837347660674595
20150331,181.0215,4.0982,3.3845814773407454
20150401,179.9262,3.4105,3.1890871526271027
20150402,180.576,3.7627,2.983497430230912
20150406,181.4322,4.2234,3.1563602977657226
20150407,181.7335,4.3849,3.1202059618527827
20150408,181.94,4.496,2.965358686678371
20150409,182.5403,4.8193,3.138506430708034
