date_,wp,rsi_old,rsi
20051102,97.3964,-0.1318,1.202271446594068
20051103,98.1136,0.7224,1.7229355721796722
20051104,97.9628,0.5395,1.2147700635205467
20051107,98.1074,0.7116,1.3189442613116
20051108,98.0546,0.6466,0.8258674936655339
20051109,98.2381,0.8677,1.102718197758442
20051110,98.725,1.4507,1.5932630445159788
20051111,99.2529,2.0735,2.1981323999107047
20051114,99.2778,2.1028,2.0994874457512225
20051115,99.014,1.7644,3.0515475949099553
20051116,99.0264,1.7793,4.240768484319368
20051117,99.7511,2.641,5.1654200256501355
20051118,100.4053,3.4004,5.139902152501293
20051121,100.7912,3.8415,5.575575131279308
20051122,101.2268,4.3342,6.659563520066314
20051123,101.8792,5.06,7.250310111776365
20051125,102.0185,5.2135,6.8235178000766155
20051128,101.466,4.4681,6.535775696753468
20051129,101.3462,4.3075,6.623981557096862
20051130,100.866,3.6668,4.7354769021431835
20051201,101.6055,4.5017,4.77904150373697
20051202,101.7942,4.7121,4.643949983634926
20051205,101.533,4.3607,4.147911050736305
20051206,101.936,4.8129,4.0616462774663376
20051207,101.2465,3.89,3.32212441809191
20051208,101.1598,3.775,3.676007336889043
20051209,101.3637,4.0082,3.411773492905681
20051212,101.4585,4.1169,3.207621195446407
20051213,102.0758,4.8191,4.274416643342505
20051214,102.5262,5.3231,4.389475515851373
20051215,102.3792,5.1204,4.215214685103128
20051216,101.62,4.0866,3.3544590963876715
20051219,101.112,3.4096,2.2761248410514057
20051220,100.9755,3.2287,1.4115380354452967
20051221,101.2192,3.5126,2.1749565886970785
20051222,101.553,3.8997,2.782261193197705
20051223,101.69,4.0583,2.377223009909102
20051227,101.0152,3.1486,1.2119220780198177
20051228,100.9058,3.0024,1.87198300011039
20051229,100.617,2.6169,2.2352436793183372
20051230,100.0294,1.8419,1.827497529200869
20060103,101.3017,3.345,2.8302474447372674
20060104,102.1258,4.2786,3.568708953979055
20060105,102.21,4.3729,3.513400683251234
20060106,102.902,5.1405,4.827207868431529
20060109,103.3255,5.6022,4.8838292359842725
20060110,103.3378,5.6155,6.053708503950844
20060111,103.7012,6.0119,6.635111722285124
20060112,103.3978,5.5932,6.35285689253071
20060113,103.2233,5.3529,5.871509238562666
20060117,102.902,4.9115,5.426517794989913
20060118,102.5588,4.4429,5.4511351126773135
20060119,102.9667,4.9049,6.448211810906557
20060120,101.5282,2.9911,4.571613946656804
20060123,101.4708,2.9166,5.123406076806184
20060124,101.6697,3.1468,4.95137392941426
20060125,101.6002,3.0553,5.307069789096346
20060126,102.1925,3.7409,4.919274059778608
20060127,102.977,4.6275,5.441472956630641
20060130,103.1312,4.7995,5.753362801848297
20060131,102.5688,4.0447,4.084323729690574
20060201,102.907,4.426,4.1303913153767695
20060202,102.0832,3.3373,3.3471404389679122
20060203,101.717,2.8624,2.1268668096645555
20060206,101.553,2.6503,1.9632767291230167
20060207,100.933,1.8561,1.795112309333959
20060208,101.446,2.4555,2.8503372405092193
20060209,101.6875,2.7354,3.2321029784208974
20060210,101.5105,2.5066,2.838091722320442
20060213,101.4188,2.3875,3.042774517306171
